,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
14580,12605.0,Appareil fixe-Vast apparaat,Sint-Jacobsmarkt ,,2000.0,ANTWERPEN,Antwerpen,In de inkomhal  (tel 0492/151830),Non-Nee,,,"Sint-Jacobsmarkt ,,Antwerpen,Belgium",51.2203342,4.4119575,
14591,13160.0,Appareil fixe-Vast apparaat,Sint-Martens-Latemlaan,,8500.0,KORTRIJK,West-Vlaanderen,"The Penta ,gebouw P,naast het onthaal",Oui-Ja,,,"Sint-Martens-Latemlaan,,West-Vlaanderen,Belgium",50.82358,3.2493103,
14627,13164.0,Appareil fixe-Vast apparaat,Entrepotplaats ,,2000.0,ANTWERPEN,Antwerpen,1e verdiep in de keuken,Oui-Ja,,,"Entrepotplaats ,,Antwerpen,Belgium",51.2276064,4.4115963,
14702,13074.0,Appareil fixe-Vast apparaat,Esmoreitlaan,1.0,2050.0,ANTWERPEN,Antwerpen,Inkom naast trap 0474/49 03 73 Carina ,Non-Nee,,,"Esmoreitlaan,1.0,Antwerpen,Belgium",51.2335296,4.3821078,
14713,13101.0,Appareil fixe-Vast apparaat,De Keyserhoeve,66.0,2040.0,ANTWERPEN ZANDVLIET,Antwerpen,"Buitengevel,straatkant",Oui-Ja,,,"De Keyserhoeve,66.0,Antwerpen,Belgium",51.3597986,4.3101555,
14726,16242.0,Appareil fixe-Vast apparaat,Cockerillkaai,26.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,,,"Cockerillkaai,26.0,Antwerpen,Belgium",51.2120306,4.3897789,
14763,13094.0,Appareil fixe-Vast apparaat,Columbiastraat,231.0,2030.0,ANTWERPEN,Antwerpen,Buitenkast inkom,Oui-Ja,,,"Columbiastraat,231.0,Antwerpen,Belgium",51.2496812,4.4238647,
14764,13091.0,Appareil fixe-Vast apparaat,Ferdinand Verbieststraat,10.0,2030.0,ANTWERPEN,Antwerpen,Buitenkast inkom,Oui-Ja,,,"Ferdinand Verbieststraat,10.0,Antwerpen,Belgium",51.2728145,4.4146543,
14767,15167.0,Appareil fixe-Vast apparaat,Willem gijsselstraat,16.0,2050.0,ANTWERPEN,Antwerpen,Buitenkast inkom containers ,Oui-Ja,,,"Willem gijsselstraat,16.0,Antwerpen,Belgium",51.2234706,4.3764187,
14769,14190.0,Appareil fixe-Vast apparaat,Sint -Bernardsesteenweg,181.0,2020.0,ANTWERPEN,Antwerpen,Inkom buitenkast,Oui-Ja,,,"Sint -Bernardsesteenweg,181.0,Antwerpen,Belgium",51.1751817,4.3666277,
14775,16256.0,Appareil fixe-Vast apparaat,Rodestraat,14.0,2000.0,ANTWERPEN,Antwerpen,Buitenkant inkom,Oui-Ja,,,"Rodestraat,14.0,Antwerpen,Belgium",51.2234938,4.4139139,
